
2025/02/15 (16:24:46) | ===> btop++ v.1.4.0
2025/02/15 (16:24:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (01:04:03) | ===> btop++ v.1.4.0
2025/02/16 (01:04:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (01:04:26) | ===> btop++ v.1.4.0
2025/02/16 (01:04:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (23:26:03) | ===> btop++ v.1.4.0
2025/02/16 (23:26:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (02:06:42) | ===> btop++ v.1.4.0
2025/02/17 (02:06:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (14:11:39) | ===> btop++ v.1.4.0
2025/02/17 (14:11:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (14:13:01) | ===> btop++ v.1.4.0
2025/02/17 (14:13:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (16:05:31) | ===> btop++ v.1.4.0
2025/02/18 (16:05:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (13:46:12) | ===> btop++ v.1.4.0
2025/02/19 (13:46:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (13:54:27) | ===> btop++ v.1.4.0
2025/02/19 (13:54:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (13:54:46) | ===> btop++ v.1.4.0
2025/02/19 (13:54:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (13:54:51) | ===> btop++ v.1.4.0
2025/02/19 (13:54:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (13:55:09) | ===> btop++ v.1.4.0
2025/02/19 (13:55:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (13:55:18) | ===> btop++ v.1.4.0
2025/02/19 (13:55:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (13:55:39) | ===> btop++ v.1.4.0
2025/02/19 (13:55:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (15:24:47) | ===> btop++ v.1.4.0
2025/02/19 (15:24:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (16:21:42) | ===> btop++ v.1.4.0
2025/02/21 (16:21:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (22:50:10) | ===> btop++ v.1.4.0
2025/02/21 (22:50:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (22:50:24) | ===> btop++ v.1.4.0
2025/02/21 (22:50:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (23:53:44) | ===> btop++ v.1.4.0
2025/02/22 (23:53:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (21:08:03) | ===> btop++ v.1.4.0
2025/02/23 (21:08:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (21:28:22) | ===> btop++ v.1.4.0
2025/02/23 (21:28:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (14:11:13) | ===> btop++ v.1.4.0
2025/02/24 (14:11:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (14:57:12) | ===> btop++ v.1.4.0
2025/02/24 (14:57:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (22:38:07) | ===> btop++ v.1.4.0
2025/02/24 (22:38:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (22:42:26) | ===> btop++ v.1.4.0
2025/02/24 (22:42:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (22:47:31) | ===> btop++ v.1.4.0
2025/02/24 (22:47:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (00:03:54) | ===> btop++ v.1.4.0
2025/02/25 (00:03:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (00:04:08) | ===> btop++ v.1.4.0
2025/02/25 (00:04:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (00:11:40) | ===> btop++ v.1.4.0
2025/02/25 (00:11:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (14:13:03) | ===> btop++ v.1.4.0
2025/02/25 (14:13:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (14:20:52) | ===> btop++ v.1.4.0
2025/02/25 (14:20:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (15:43:51) | ===> btop++ v.1.4.0
2025/02/25 (15:43:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (00:32:55) | ===> btop++ v.1.4.0
2025/02/26 (00:32:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (00:33:25) | ===> btop++ v.1.4.0
2025/02/26 (00:33:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (00:35:56) | ===> btop++ v.1.4.0
2025/02/26 (00:35:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (01:45:13) | ===> btop++ v.1.4.0
2025/02/26 (01:45:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (01:49:50) | ===> btop++ v.1.4.0
2025/02/26 (01:49:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (01:51:03) | ===> btop++ v.1.4.0
2025/02/26 (01:51:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (01:52:00) | ===> btop++ v.1.4.0
2025/02/26 (01:52:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (01:52:10) | ===> btop++ v.1.4.0
2025/02/26 (01:52:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (01:52:11) | ===> btop++ v.1.4.0
2025/02/26 (01:52:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (01:54:09) | ===> btop++ v.1.4.0
2025/02/26 (01:54:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (01:55:46) | ===> btop++ v.1.4.0
2025/02/26 (01:55:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (13:41:10) | ===> btop++ v.1.4.0
2025/02/26 (13:41:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (13:51:52) | ===> btop++ v.1.4.0
2025/02/26 (13:51:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (20:11:44) | ===> btop++ v.1.4.0
2025/02/27 (20:11:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (21:15:31) | ===> btop++ v.1.4.0
2025/02/27 (21:15:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (22:26:56) | ===> btop++ v.1.4.0
2025/02/27 (22:26:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (23:15:22) | ===> btop++ v.1.4.0
2025/02/27 (23:15:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (00:24:52) | ===> btop++ v.1.4.0
2025/03/01 (00:24:52) | WARNING: Intel GPU: Failed to initialize PMU
